"ID"|"EAN13"|"CODE_ISP"|"EDITABLE_NAME"|"PRINCIPE_ACTIVE"|"CLEAR_CONCENTRATION"|"CONCENTRATION"|"SHAPE_PHARMACY"|"QUANTITY_PER_CONTAINER"|"UNIT_OF_MEASUREMENT"|"LABORATORY"|"MASTER_CATEGORY"|"CATEGORY"|"SUB_CATEGORY"|"PRESCRIPTION_TYPE"|"BIOEQUIVALENT"|"COOLED"|"CENABAST"|"BRAND"|"LIQUID"
777000016|301320105049|"F-22845/21"|"FOSFOSODA X 45 ML SOLUCION ORAL"|"FOSFATO DE SODIO MONOBASICO DODECAHIDRATADO 54,22 G FOSFATO DIBASICO DE SODIO DODECAHIDRATADO 24 G"|"54,22;24"|"54,22 G;24 G"|"SOLUCION ORAL"|"45"|"100 ML"|"SYNTHON"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"LAXANTES"|"MRE"|0|0|"CENABAST"|0|1
777000017|310742037715|"128C-43/18"|"LIP ICE MENTHOL LABIAL FPS 15 MENTOLADO X 1 BALSAMO LABIAL"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"BALSAMO LABIAL"|"3,5"|"UNIDAD"|"HOFMANN"|"BELLEZA"|"PROTECTORES LABIALES"|"CON FILTRO SOLAR"|"NP"|0|0||1|0
777000018|729208231930||"MAGNESIO 400 MG X 60 CAPSULAS"|"OXIDO DE MAGNESIO 400 MG"|"400"|"400 MG"|"CAPSULAS"|"60"|"CAPSULA"|"SUPPLEVIT"|"VITAMINAS Y SUPLEMENTOS"|"MULTIVITAMINAS, MINERALES Y ENERGIA"|"MINERALES"|"NP"|0|0||1|0
777000019|781159095955||"AEROCAMARA INFANTIL TALLA M X 1 UNIDAD"|"NO APLICA UNITARIO"||"UNITARIO"|"AEROCAMARA"|"1"|"UNIDAD"||"DISPOSITIVOS MEDICOS"|"AEROCAMARAS Y NEBULIZADORES"|"AEROCAMARAS"|"NP"|0|0||0|0
777000020|781159466908||"CLORURO DE MAGNESIO X 120 CAPSULAS"|"CLORURO DE MAGNESIO 350 MG OXIDO MAGNESIO 150 MG"|"350;150"|"350 MG;150 MG"|"CAPSULAS"|"120"|"CAPSULA"|"CNP"|"VITAMINAS Y SUPLEMENTOS"|"MULTIVITAMINAS, MINERALES Y ENERGIA"|"MINERALES"|"NP"|0|0||0|0
777000021|781159467219||"VITALAGENO BEAUTY X 30 SOBRES POLVO PARA SOLUCION ORAL"|"COLAGENO HIDROLIZADO 10 G"|"10"|"10 G"|"POLVO PARA SOLUCION ORAL"|"30"|"SOBRE"|"CNP"|"PRODUCTOS NATURALES"|"SUPLEMENTOS ALIMENTICIOS"|"SISTEMA OSTEOARTICULAR (ARTICULACIONES Y HUESOS)"|"NP"|0|0||1|0
777000022|2000000644011|"F-7597/21"|"VASELINA LIQUIDA ORAL X 120 ML"|"VASELINA LIQUIDA 100 ML/ML"|"100"|"100 ML/ML"|"SOLUCION"|"120"|"100 ML"|"DIFEM"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"LAXANTES"|"NP"|0|0||0|1
777000023|3583315558079|"B-922/20"|"PERENTERYL PEDIATRICO 250 MG X 10 SOBRES"|"SACCHAROMYCES BOULARDII 250 MG"|"250"|"250 MG"|"POLVO PARA SUSPENSION ORAL"|"10"|"SOBRE"|"AXON"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"ANTIDIARREICOS"|"NP"|0|0||1|0
777000024|3583316669293|"B-2546/20"|"PERENTERYL 250 MG X 10 CAPSULAS"|"SACCHAROMYCES BOULARDII 250 MG"|"250"|"250 MG"|"CAPSULAS"|"10"|"CAPSULA"|"AXON"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"ANTIDIARREICOS"|"NP"|0|0||1|0
777000025|3600542109802||"GARNIER AGUA MICELAR EN ACEITE SKINACTIVE X 100 ML"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"AGUA MICELAR"|"100"|"100 ML"|"GARNIER"|"BELLEZA"|"DERMOCOSMETICA"|"LIMPIEZA CUTANEA Y DESMAQUILLANTES"|"NP"|0|0||1|1
777000026|4005808257720||"NIVEA DESODORANTE ROLL ON DOUBLE EFFECT X 50 ML"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"ROLL ON"|"50"|"100 ML"|"NIVEA"|"CUIDADO PERSONAL E HIGIENE"|"CUIDADO PERSONAL"|"DESODORANTES Y ANTITRANSPIRANTES"|"NP"|0|0||1|1
777000027|4005808979677||"NIVEA ANTITRANSPIRANTE SPRAY MEN DRY IMPACT X 150 ML"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"SPRAY"|"150"|"100 ML"|"NIVEA"|"CUIDADO PERSONAL E HIGIENE"|"CUIDADO PERSONAL"|"DESODORANTES Y ANTITRANSPIRANTES"|"NP"|0|0||1|1
777000028|4005900036704||"NIVEA DESODORANTE ROLL ON INVISIBLE BLACK AND WHITE CLEAR X 50 ML"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"ROLL ON"|"50"|"100 ML"|"NIVEA"|"CUIDADO PERSONAL E HIGIENE"|"CUIDADO PERSONAL"|"DESODORANTES Y ANTITRANSPIRANTES"|"NP"|0|0||1|1
777000029|4005900392602||"NIVEA MEN CREMA DE AFEITAR SUAVE X 100 ML"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"CREMA"|"100"|"100 ML"|"NIVEA"|"CUIDADO PERSONAL E HIGIENE"|"CUIDADO PERSONAL"|"MAQUINAS, HOJAS Y CREMAS DE AFEITAR"|"NP"|0|0||1|1
777000030|4027269687540||"BION 3 SENIOR X 30 COMPRIMIDOS RECUBIERTOS"|"LACTOBACILLUS GASSERI SEGUN ROTULADO BIFIDOBACTERIUM BI FI DUM MF  BIFIDOBACTERIUM LONGUMÂ SP"||"SEGUN ROTULADO"|"COMPRIMIDOS RECUBIERTOS"|"30"|"COMPRIMIDO"|"PROCTER & GAMBLE"|"VITAMINAS Y SUPLEMENTOS"|"MULTIVITAMINAS, MINERALES Y ENERGIA"|"MULTIVITAMINICOS Y PROBIOTICOS"|"NP"|0|0||1|0
777000031|4032717997980||"URSOFALK 500 MG X 50 COMPRIMIDOS RECUBIERTOS"|"ACIDO URSODEOXICOLICO 500 MG"|"500"|"500 MG"|"COMPRIMIDOS RECUBIERTOS"|"50"|"COMPRIMIDO"|"LOSAN PHARMA"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"FUNCION HEPATICA"|"MRE"|0|0|"CENABAST"|1|0
777000032|4048846005243|"F-18886/21"|"TRAYENTA 5 MG X 30 COMPRIMIDOS RECUBIERTOS"|"LINAGLIPTINA 5 MG"|"5"|"5 MG"|"COMPRIMIDOS RECUBIERTOS"|"30"|"COMPRIMIDO"|"BOEHRINGER INGELHEIM"|"MEDICAMENTOS"|"SISTEMA ENDOCRINO (HORMONAL) Y METABOLISMO"|"HIPOGLICEMIANTES"|"MRE"|0|0||1|0
777000033|4048846008718|"F-17448/19"|"PRADAXA 110 MG X 60 CAPSULAS"|"DABIGATRAN ETEXILATO 110 MG"|"110"|"110 MG"|"CAPSULAS"|"60"|"CAPSULA"|"BOEHRINGER INGELHEIM"|"MEDICAMENTOS"|"SISTEMA CARDIOVASCULAR Y SANGUINEO"|"ANTICOAGULANTES"|"MRE"|0|0||1|0
777000034|4048846009647|"F-19682/17"|"TRAYENTA DUO 2,5 MG/850 MG X 60 COMPRIMIDOS RECUBIERTOS"|"LINAGLIPTINA 2,5 MG METFORMINA CLORHIDRATO 850 MG"|"2,5;850"|"2,5 MG;850 MG"|"COMPRIMIDOS RECUBIERTOS"|"60"|"COMPRIMIDO"|"BOEHRINGER INGELHEIM"|"MEDICAMENTOS"|"SISTEMA ENDOCRINO (HORMONAL) Y METABOLISMO"|"HIPOGLICEMIANTES"|"MRE"|0|0||1|0
777000035|4051892002296||"PANBIO TEST ANTIGENO COVID-19 X 1 UNIDAD"|"NO APLICA UNITARIO"||"UNITARIO"|"TEST"|"1"|"UNIDAD"|"ABBOTT"|"DISPOSITIVOS MEDICOS"|"TEST"|"COVID"|"NP"|0|0||1|0
777000036|4104480705199|"N-56/21"|"ABRILAR 35 MG/5 ML X 100 ML JARABE"|"HEDERA HELIX 35 MG/5 ML"|"35"|"35 MG/5 ML"|"JARABE"|"100"|"100 ML"|"MEGALABS"|"PRODUCTOS NATURALES"|"FITOFARMACOS"|"SISTEMA RESPIRATORIO"|"NP"|0|0||1|1
777000037|4260095681973|"F-1176/18"|"KONAKION MM 10 MG/ML X 5 AMPOLLAS SOLUCION INYECTABLE"|"FITOMENADIONA (VITAMINA K) 10 MG/ML"|"10"|"10 MG/ML"|"SOLUCION INYECTABLE"|"5"|"AMPOLLA"|"GEMARKPHARMA"|"MEDICAMENTOS"|"VITAMINAS"|"VITAMINA K"|"MRE"|0|0||1|1
777000038|4710693250762||"BEST HOUSE ASPIRADOR NASAL CON DEPOSITO X 1 UNIDAD"|"NO APLICA UNITARIO"||"UNITARIO"|"ASPIRADOR"|"1"|"UNIDAD"|"BEST HOUSE"|"BEBE E INFANTIL"|"HIGIENE"|"ASPIRADORES NASALES"|"NP"|0|0||1|0
777000039|4799020250767||"BEST HOUSE PACK ASPIRADORA NASAL CON DEPOSITO + VARILLAS DE ALGODON 200 UNIDADES X 1 PACK"|"NO APLICA UNITARIO"||"UNITARIO"|"PACK"|"1"|"UNIDAD"|"BEST HOUSE"|"BEBE E INFANTIL"|"HIGIENE"|"ASPIRADORES NASALES"|"NP"|0|0||1|0
777000040|4800573052224|"F-14346/19"|"CLORURO DE SODIO 0,9 % X 10 ML SOLUCION INYECTABLE"|"SODIO CLORURO 0,9%"|"0,9"|"0,90%"|"SOLUCION INYECTABLE"|"10"|"100 ML"|"BIOSANO"|"DISPOSITIVOS MEDICOS"|"INSUMOS"|"SUEROS"|"MRE"|0|0||1|1
777000041|4902508168151||"PIGEON ABSORBENTE LECHE SLIM LIGHT X 24 UNIDADES"|"NO APLICA UNITARIO"||"UNITARIO"|"ABSORBENTE"|"24"|"UNIDAD"|"PIGEON"|"CUIDADO PERSONAL E HIGIENE"|"CUIDADO PERSONAL"|"TOALLITAS HIGIENICAS, TAMPONES Y PROTECTORES"|"NP"|0|0||1|0
777000042|4968420726688||"NIPRO JERINGA 5 ML X 1 UNIDAD"|"NO APLICA UNITARIO"||"UNITARIO"|"JERINGA"|"1"|"UNIDAD"|"NIPRO"|"DISPOSITIVOS MEDICOS"|"INSUMOS"|"AGUJAS Y JERINGAS"|"NP"|0|0||1|0
777000043|5000158066762|"F-3749/20"|"GAVISCON X 150 ML SUSPENSION ORAL"|"BICARBONATO DE SODIO 133,5 MG CARBONATO DE CALCIO 80 MG SODIO ALGINATO 250 MG"|"80;250;133,5"|"133,5 MG;80 MG;250 MG"|"SUSPENSION ORAL"|"150"|"100 ML"|"RECKITT BENCKISER"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"ANTIACIDOS"|"NP"|0|0||1|1
777000044|5000158067738|"F-17341/19"|"GAVISCON X 8 COMPRIMIDOS MASTICABLES"|"BICARBONATO DE SODIO 133,50 MG CARBONATO DE CALCIO 80 MG SODIO ALGINATO 250 MG"|"250;133,50;80"|"133,50 MG;80 MG;250 MG"|"COMPRIMIDOS MASTICABLES"|"8"|"COMPRIMIDO"|"RECKITT BENCKISER"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"ANTIACIDOS"|"NP"|0|0||1|0
777000045|5000158068421|"F-17274/18"|"GAVISCON DOBLE ACCION X 150 ML SUSPENSION ORAL"|"BICARBONATO DE SODIO 2,13 G CARBONATO DE CALCIO 3,25 G SODIO ALGINATO 5 G"|"2,13;3,25;5"|"2,13 G;3,25 G;5 G"|"SUSPENSION ORAL"|"150"|"100 ML"|"RECKITT BENCKISER"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"ANTIACIDOS"|"NP"|0|0||1|1
777000046|5000158068438|"F-17273/18"|"GAVISCON DOBLE ACCION X 8 COMPRIMIDOS MASTICABLES"|"BICARBONATO DE SODIO 106,5 MG CARBONATO DE CALCIO 80 MG (CAPA ROSADA) SODIO ALGINATO 107,5 MG (CAPA BLANCA)"|"106,5;80;107,5;250"|"106,5 MG;80 MG (CAPA ROSADA);107,5 MG (CAPA BLANCA);250 MG"|"COMPRIMIDOS MASTICABLES"|"8"|"COMPRIMIDO"|"RECKITT BENCKISER"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"ANTIACIDOS"|"NP"|0|0||1|0
777000047|5000158069633|"F-23326/17"|"GAVISCON 10 ML SUSPENSION ORAL X 12 SACHET"|"BICARBONATO DE SODIO 267 MG CARBONATO DE CALCIO 160 MG SODIO ALGINATO 500 MG"|"267;160;500"|"267 MG;160 MG;500 MG"|"SUSPENSION ORAL"|"12"|"SOBRE"|"RECKITT BENCKISER"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"ANTIACIDOS"|"NP"|0|0||1|0
777000048|5000158069701|"F-17274/18"|"GAVISCON DOBLE ACCION 10 ML SUSPENSION ORAL X 12 SACHETS"|"BICARBONATO DE SODIO 2,13 G CARBONATO DE CALCIO 3,25 G SODIO ALGINATO 5 G"|"2,13;3,25;5"|"2,13 G;3,25 G;5 G"|"SUSPENSION ORAL"|"12"|"SOBRE"|"RECKITT BENCKISER"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"ANTIACIDOS"|"NP"|0|0||1|0
777000049|5027314502940||"MULTIFLORA PLUS X 30 CAPSULAS"|"LACTOBACILUS CASEI SEGUN ROTULADO LACTOBACILLUS RHAMNOSUS  STREPTOCOCCUS THERMOPHILUS"||"SEGUN ROTULADO"|"CAPSULAS"|"30"|"CAPSULA"|"PHARMA INVESTI"|"MEDICAMENTOS"|"SISTEMA GASTROINTESTINAL"|"ANTIDIARREICOS"|"NP"|0|0||1|0
777000050|5099864006094||"SIMILAC FORMULA ETAPA 1 X 900 G"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"POLVO PARA SUSPENSION ORAL"|"900"|"100 G"|"SIMILAC"|"VITAMINAS Y SUPLEMENTOS"|"SUPLEMENTOS ALIMENTICIOS"|"FORMULAS LACTEAS PARA NINOS"|"NP"|0|0||1|0
777000051|5099864006162||"SIMILAC FORMULA ETAPA 3 X 900 G"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"POLVO PARA SUSPENSION ORAL"|"900"|"100 G"|"SIMILAC"|"VITAMINAS Y SUPLEMENTOS"|"SUPLEMENTOS ALIMENTICIOS"|"FORMULAS LACTEAS PARA NINOS"|"NP"|0|0||1|0
777000052|5099864007190||"SIMILAC FORMULA ETAPA 2 X 900 G"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"POLVO PARA SUSPENSION ORAL"|"900"|"100 G"|"SIMILAC"|"VITAMINAS Y SUPLEMENTOS"|"SUPLEMENTOS ALIMENTICIOS"|"FORMULAS LACTEAS PARA NINOS"|"NP"|0|0||1|0
777000053|5290931031746|"F-25501/20"|"PREGABALINA 75 MG X 30 CAPSULAS"|"PREGABALINA 75 MG"|"75"|"75 MG"|"CAPSULAS"|"30"|"CAPSULA"|"PHARMATECH"|"MEDICAMENTOS"|"SISTEMA NERVIOSO CENTRAL Y PERIFERICO"|"ANALGESICOS Y ANTICONVULSIVANTES"|"MRE"|1|0||0|0
777000054|6223003735791||"PHARMACOLL PARCHE PARA PIES X 8 UNIDADES"|"NO APLICA UNITARIO"||"UNITARIO"|"PARCHES"|"8"|"UNIDAD"|"PHARMACOLL"|"DISPOSITIVOS MEDICOS"|"PRIMEROS AUXILIOS"|"APOSITOS, GASAS, PARCHES Y SUTURAS"|"NP"|0|0||1|0
777000055|6223003735845||"PHARMACOLL PARCHE ACNE TRANSPARENTES X 15 UNIDADES"|"NO APLICA UNITARIO"||"UNITARIO"|"PARCHES"|"15"|"UNIDAD"|"PHARMACOLL"|"DISPOSITIVOS MEDICOS"|"OTROS DISPOSITIVOS"|"OTROS"|"NP"|0|0||1|0
777000056|6223004866920||"PHARMAPLAST SUTURAS ADHESIVAS X 6 UNIDADES"|"NO APLICA UNITARIO"||"UNITARIO"|"SUTURAS"|"6"|"UNIDAD"|"PHARMAPLAST"|"DISPOSITIVOS MEDICOS"|"PRIMEROS AUXILIOS"|"APOSITOS, GASAS, PARCHES Y SUTURAS"|"NP"|0|0||1|0
777000057|6223004867019||"PHARMASTRIP 6 MM X 38 MM SUTURA CUTANEA ADHESIVA X 6 UNIDADES"|"NO APLICA UNITARIO"||"UNITARIO"|"SUTURA"|"6"|"UNIDAD"|"PHARMAPLAST"|"DISPOSITIVOS MEDICOS"|"PRIMEROS AUXILIOS"|"APOSITOS, GASAS, PARCHES Y SUTURAS"|"NP"|0|0||1|0
777000058|6223004868443||"PHARMA-ALGI SILVER 5 CM X 5 CM ALGINATO DE CALCIO CON PLATA X 1 UNIDAD"|"NO APLICA UNITARIO"||"UNITARIO"|"PARCHE"|"1"|"UNIDAD"|"PHARMAPLAST"|"DISPOSITIVOS MEDICOS"|"PRIMEROS AUXILIOS"|"APOSITOS, GASAS, PARCHES Y SUTURAS"|"NP"|0|0||1|0
777000059|6921199300280||"BEST HOUSE PASTILLERO PARA 7 DIAS X 1 UNIDAD"|"NO APLICA UNITARIO"||"UNITARIO"|"PASTILLERO"|"1"|"UNIDAD"|"BEST HOUSE"|"DISPOSITIVOS MEDICOS"|"PASTILLEROS Y CORTA PASTILLAS"|"PASTILLEROS"|"NP"|0|0||1|0
777000060|6921199336906||"CORTA PASTILLAS Y TRITURADOR X 1 UNIDAD"|"NO APLICA UNITARIO"||"UNITARIO"|"CORTA PASTILLA"|"1"|"UNIDAD"|"BEST HOUSE"|"DISPOSITIVOS MEDICOS"|"PASTILLEROS Y CORTA PASTILLAS"|"CORTA PASTILLAS"|"NP"|0|0||1|0
777000061|6939663950305||"SCANMED TERMOMETRO DIGITAL INFRARROJO ET-306 X 1 UNIDAD"|"NO APLICA UNITARIO"||"UNITARIO"|"INFRARROJO"|"1"|"UNIDAD"|"SCANMED"|"DISPOSITIVOS MEDICOS"|"TERMOMETROS"|"INFRARROJO"|"NP"|0|0||1|0
777000062|7451079003462|"F-24670/19"|"PANADOL NINOS 80 MG X 20 COMPRIMIDOS MASTICABLES"|"PARACETAMOL 80 MG"|"80"|"80 MG"|"COMPRIMIDOS MASTICABLES"|"20"|"COMPRIMIDO"|"GLAXOSMITHKLINE"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"NP"|0|0||1|0
777000063|7460536556557|"N-464/18"|"PIASCLEDINE X 30 CAPSULAS"|"INSAPONIFICABLES DE PERSEA GRATISSIMA 100 MG INSAPONIFICABLES DE GLICINE MAX 200 MG"|"100;200"|"100 MG;200 MG"|"CAPSULAS"|"30"|"CAPSULA"|"MEGALABS"|"PRODUCTOS NATURALES"|"FITOFARMACOS"|"FITOFARMACOS ASOSCIADOS AL DOLOR"|"MRE"|0|0||1|0
777000064|7500435113595||"PAMPERS PANAL DESECHABLE PREMIUN CARE G X 20 UNIDADES"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"PANAL"|"20"|"UNIDAD"|"PAMPERS"|"BEBE E INFANTIL"|"PANALES"|"TALLA G"|"NP"|0|0||1|0
777000065|7500435113618||"PAMPERS PANALES PREMIUM CARE XXG +14 KG X 16 UNIDADES"|"NO APLICA UNITARIO"||"UNITARIO"|"PANAL"|"16"|"UNIDAD"|"PAMPERS"|"BEBE E INFANTIL"|"PANALES"|"TALLA XG Y MAS"|"NP"|0|0||1|0
777000066|7500435122443||"PAMPERS PANAL CONFORT SEC G X 20 UNIDADES"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"PANAL"|"20"|"UNIDAD"|"PAMPERS"|"BEBE E INFANTIL"|"PANALES"|"TALLA G"|"NP"|0|0||1|0
777000067|7500435122467||"PAMPERS PANAL CONFORT SEC XG X 16 UNIDADES"|"SEGUN ROTULADO"||"SEGUN ROTULADO"|"PANAL"|"16"|"UNIDAD"|"PAMPERS"|"BEBE E INFANTIL"|"PANALES"|"TALLA XG Y MAS"|"NP"|0|0||1|0
777000068|7501098607575|"F-18372/20"|"BETALOC ZOK 25 MG X 30 COMPRIMIDOS DE LIBERACION PROLONGADA"|"METOPROLOL SUCCINATO 25 MG"|"25"|"25 MG"|"COMPRIMIDOS DE LIBERACION PROLONGADA"|"30"|"COMPRIMIDO"|"ASTRAZENECA"|"MEDICAMENTOS"|"SISTEMA CARDIOVASCULAR Y SANGUINEO"|"ANTIHIPERTENSIVOS ASOCIADOS Y RELACIONADOS CON OTRAS ENFERMEDADES"|"MRE"|0|0||1|0
777000069|7501125181801|"F-22919/21"|"ONEMER 30 MG/1 ML X 3 SOLUCION INYECTABLE"|"KETOROLACO TROMETAMOL 30 MG/1 ML"|"30"|"30 MG/1 ML"|"SOLUCION INYECTABLE"|"3"|"AMPOLLA"|"PISA"|"MEDICAMENTOS"|"MEDICAMENTOS ASOCIADOS AL DOLOR"|"ANALGESICOS, ANTIINFLAMATORIOS Y ANTIPIRETICOS"|"MRE"|0|0||1|1
